"AnyID","address","city","state","zip","country"
"0712","400 Dayton St","Hamilton","OH","45011","US"
"0715","600 Thilmany Rd","Kaukauna","WI","54130","US"
"0769","4001 Mc Cords Ferry Rd","Eastover","SC","29044","US"
"0776","34040 UNION CAMP DR","FRANKLIN","VA","23851","US"
"07GA","McBean Woodyard","Georgetown","SC",,"US"
"07MI","8492 YUILL RD","VANDERBILT","MI","49795","US"
"07MS","75 Carthage Point Rd","Natchez","MS","39120","US"
"0805","39 S Broad St","Westfield","MA","01085","US"
"0855","Hwy 121 on Fruit Hill Rd","Johnston","SC","29832","US"
"0867","100 Jensen Rd","Prattville","AL","36067","US"
"0899","1201 W LATHROP AVE","SAVANNAH","GA","31415","US"
"08GA","1380 Morris Rd","Madison","GA","30650","US"
"08MI","Kimberly Road","Marenisco","MI","49947","US"
"0957","3287 College St Ext, Hwy 121","Newberry","SC","29108","US"
"09GA","158 CONEY RD S","CORDELE","GA","31015","US"
"09MI","US Hwy 41","Allouez","MI","49805","US"
"09TN","202 Mill Creek Road","Sunbright","TN","37872","US"
"0A27","476 Carrsville Hwy","Franklin","VA","23851","US"
"0C04","Highway 59 N.","Corrigan","TX","75939","US"
"10ME","32 Stetson Rd","East Newport","ME","04933","US"
"10NY","Route 3","Colton","NY","13625","US"
"10TN","701 HOWARD BAKER HWY","PIONEER","TN","37847","US"
"10VA","35080 BUTLER FARM RD","FRANKLIN","VA","23851","US"
"12TX","Aiken Rd","Scottsville","TX","75688","US"
"12VA","35151 Great Mill Rd, VA Route","Franklin","VA","23851","US"
"12WI","Hwy 101","Florence","WI","54121","US"
"13MS","318 Yandell St,  Canton 35046",,"MS","00000","US"
"15AL","Paper Mill Rd","Mobile","AL","36633","US"
"16AL","Red Cliff Rd","Creola","AL","36525","US"
"17FL","375 MUSCOGEE RD","CANTONMENT","FL","32533","US"
"17MI","W6791 US HIGHWAY 2","QUINNESEC","MI","49876","US"
"1AAL","125 6th Street","Montgomery","AL","36104","US"
"1AGA","2449 STAGECOACH RD","OGLETHORPE","GA","31068","US"
"1AMS","4335 Carson Rd","Columbus","MS","39701","US"
"1ANC","1785 Weyerhaeuser Drive","New Bern","NC","28586","US"
"1BGA","100 Appleby Road","Port Wentworth","GA","31407","US"
"1BMS","150 LAGRANGE RD","EUPORA","MS","39744","US"
"20MI","Ensign Woodyard","ENSIGN","MI",,"US"
"21LA","4537 Highway 80","Campti","LA","71411","US"
"21ME","131 Landfill Road","Dover-Foxcroft","ME","04426","US"
"21MI","Ishpeming Woodyard","NORWAY","MI",,"US"
"21MN","Hwy 210","Carlton","MN","55718","US"
"22MI","Cellotex Woodyard","Norway","MI",,"US"
"22MN","1105 N 1st St","Bemidji","MN","56601","US"
"23AR","2700 Hwy 81 N.","Pine Bluff","AR","71601","US"
"23MI","Caffey Woodyard","NORWAY","MI",,"US"
"24AR","Cadron Creek Chip Mill","Menifee","AR",,"US"
"25AR","120 MAIN ST","DIERKS","AR","71833","US"
"25SC","5956 S. Fraser St","Georgetown","SC","29440","US"
"26ME","Route 27","Farmington","ME","04459","US"
"26MI","117 WILD RIVER RD","IRON RIVER","MI","49935","US"
"31AL","550 RIVERPARK DRIVE","JACKSON","AL","36545","US"
"31GA","115 Gordon McIntyre Rd","Gordon","GA","31031","US"
"32NH","Ossipee Lake Rd","West Ossipee","NH","03890","US"
"33AL","8510 River Rd","Selma","AL","36701","US"
"33SC","598 Plywood Plant Rd","Silverstreet","SC","29145","US"
"34NC","799 Grists Rd","Chadbourn","NC","28431","US"
"36ME","131 Landfill Road","Dover","ME","04426","US"
"37ME","RFD #1, Box 35A","Cherryfield","ME","04622","US"
"37MS","2026 S. Commerce St","Grenada","MS","38901","US"
"39NC","247 Collins Road","Norlina","NC","27563","US"
"41NC","335 JESSE HILL RD","SNOW HILL","NC","28580","US"
"42AL","7616 HIGHWAY 10 W","PINE HILL","AL","36769","US"
"44ME","14 Bagley Avenue","Bucksport","ME","04416","US"
"46MS","2385 Hwy 72","Glen","MS","38846","US"
"47ME","Studmill Rd","Milford","ME","04461","US"
"48MS","Fulton Woodyard - Port Itwamba","Fulton","MS","38843","US"
"51GA","4231 Mike Padgett Hwy","Augusta","GA","30906","US"
"52GA","115 Gordon McIntyre Rd","Gordon","GA","31031","US"
"52TX","F.M. Rd 3129","Queen City","TX","75572","US"
"53GA","1380 Morris Rd","Madison","GA","30650","US"
"53MI","W6582 Highway U.S. 2","Norway","MI","49870","US"
"54GA","New Petersbury Rd","Lincolnton","GA","30817","US"
"54MN","2425 Terminal Road","Roseville","MN","55113","US"
"54TN","701 Howard Baker Hwy","Pioneer","TN","37847","US"
"58LA","1202 Hwy 509","Mansfield","LA","71052","US"
"58MS","Hwy 3 N.","Redwood","MS","39156","US"
"6027","476 Carrsville Hwy","Franklin","VA","23851","US"
"6028","911 Old River Rd","Meldrim","GA","31318","US"
"6029","103 Mays Blvd","Folkston","GA","31537","US"
"6030","4400 NC Hwy 186","Seaboard","NC","27876","US"
"6031","2100 Industrial Blvd","Opelika","AL","36801","US"
"6032","102 Main St","Chapman","AL","36015","US"
"6033","102 Main St","Chapman","AL","36015","US"
"6034","19953 US Hwy 31 S.","Thorsby","AL","35171","US"
"60LA","5957 Airport Rd","Bastrop","LA","71220","US"
"60NC","SR 1102 CR - Collins Rd","Norlina","NC","27563","US"
"61NC","SR 1103","Snow Hill","NC","28580","US"
"6202","FM 62","Camden","TX","75934","US"
"6207","185 Diamond Road","Passadumkeag","ME","04475","US"
"6210","20025 Odom Rd","Citronelle","AL","36522","US"
"6211","401 Champion Dr","McDavid","FL","32568","US"
"6213","109 Halsema Rd S.","Whitehouse","FL","32220","US"
"63AR","Cardon Creek Chip Mill-Frstlds","Menifee","AR",,"US"
"64SC","239 Old Anderson Rd","Pendleton","SC","29670","US"
"65SC","177 Strother Rd","Union","SC","29379","US"
"67AL","200 Jensen Rd","Prattville","AL","36067","US"
"6972","1510 18TH ST","FORT MADISON","IA","52627","US"
"7106","7600 HIGHWAY 10 W","PINE HILL","AL","36769","US"
"7107","5936 PERKINS RD","OXNARD","CA","93033","US"
"7108","4600 C ST SW","CEDAR RAPIDS","IA","52404","US"
"7109","1500 COMMONWEALTH DR","HENDERSON","KY","42420","US"
"7110","4537 HIGHWAY 480","CAMPTI","LA","71411","US"
"7113","890 INTERNATIONAL PAPER LN","VALLIANT","OK","74764","US"
"7114","3251 OLD SALEM RD NE","ALBANY","OR","97321","US"
"7115","801 42ND ST","SPRINGFIELD","OR","97478","US"
"71AL","102 Main St","Chapman","AL","36015","US"
"71ME","Chester Forest Products, Rt. 1","Chester","ME","04457","US"
"72AL","2550 Jackson Ferry Rd","Montgomery","AL","36124","US"
"72LA","5690 Hwy 486","Natchitoches","LA","71411","US"
"72MS","12271 HIGHWAY 16 W","DE KALB","MS","39328-","US"
"7442","2585 E 200 N","CAYUGA","IN","47928","US"
"7444","238 MAYS BRIDGE RD SW","ROME","GA","30165","US"
"7445","401 AVENUE U","BOGALUSA","LA","70427","US"
"7446","1241 W 2ND ST","MAYSVILLE","KY","41056","US"
"7448","1750 IP Way","ORANGE","TX","77632","US"
"74SC","598 Plywood Plant Rd","Silverstreet","SC","29145","US"
"7620","2449 STAGECOACH RD","OGLETHORPE","GA","31068","US"
"7621","1785 WEYERHAEUSER RD","NEW BERN","NC","28563","US"
"7622","4335 CARSON RD","COLUMBUS","MS","39701","US"
"7623","1 BONNYBRIDGE RD","PORT WENTWORTH","GA","31407","US"
"76AL","1040 FRICTION DR","PRATTVILLE","AL","36067","US"
"76LA","2426 BROADWAY AVE","ALEXANDRIA","LA","71302","US"
"76TX","3000 REDBUD BLVD","MCKINNEY","TX","75069","US"
"77GA","1950 HARD CASH RD NW","DEWY ROSE","GA","30634","US"
"79GA","Hwy 84N","Offerman","GA","31556","US"
"79LA","148 McIntyre Rd","Minden","LA","71055","US"
"80AL","307 Willow Oaks Dr","Ozark","AL","36360","US"
"80GA","2434 NEW SAVANNAH RD","Augusta","GA","30913","US"
"80LA","5690 Hwy 486","Natchitoches","LA","71411","US"
"8136","Pensacola Mill Warehouse","Pensacola","FL",,"US"
"81AL","Route 3, Box 189A, County Rd 2","Evergreen","AL","36401","US"
"81GA","238 MAYS BRIDGE RD SW","ROME","GA","30165","US"
"8235","2110 HIGHWAY 509","MANSFIELD","LA","71052","US"
"8279","5845 E. 14th Street","Brownsville","TX","78521","US"
"82AL","1025 Hwy 331S","Opp","AL","36467","US"
"82GA","1300 N HIGHWAY 16","WHITESBURG","GA","30185","US"
"82LA","5957 Airport Rd","Bastrop","LA","71220","US"
"8327","2110 Hwy #509 Rt 1 Box 752","Mansfield","LA","71052","US"
"83GA","238 MAYS BRIDGE RD SW","ROME","GA","30165","US"
"83LA","5957 Airport Rd","Bastrop","LA","71220","US"
"83MS","20 HILLCREST LN","COLUMBIA","MS","39429","US"
"83NC","5821 US HIGHWAY 264A W","SIMS","NC","27880","US"
"84GA","380 MAYS BRIDGE RD SW","ROME","GA","30165","US"
"84NC","175 MAIN ST","CANTON","NC","28716","US"
"85GA","1 BONNYBRIDGE RD","PORT WENTWORTH","GA","31407","US"
"85MS","20 SAWMILL RD","SANDY HOOK","MS","39478","US"
"85NC","635 John L Riegel Road","Riegelwood","NC","28456","US"
"8657","3400 DEEPWATER TERMINAL RD","RICHMOND","VA","23234","US"
"86GA","2449 STAGECOACH RD","OGLETHORPE","GA","31068","US"
"87GA","1825 EFFINGHAM HWY","SYLVANIA","GA","30467","US"
"8904","9101 SLACK RD","SHREVEPORT","LA","71106","US"
"89GA","414 MOUNT OLIVE RD","OGLETHORPE","GA","31068","US"
"89LA","300 Williams Lake Road","Pineville","LA","71360","US"
"90AL","Route 3, Box 189A, County Rd 2","Evergreen","AL","36401","US"
"90LA","76220 HIGHWAY 51","KENTWOOD","LA","70444","US"
"90MS","2385 Hwy 72","Glen","MS","38846","US"
"90TX","3641 Ben Dunn Rd","Lufkin","TX","75904","US"
"91AL","1025 Hwy 331S","Opp","AL","36467","US"
"91LA","401 AVENUE U","BOGALUSA","LA","70427","US"
"91NC","1785 WEYERHAEUSER RD","VANCEBORO","NC","28586","US"
"91TX","3641 Ben Dunn Rd","Lufkin","TX","75904","US"
"92AL","2186 Co. Rd 400","Hillsboro","AL","35618","US"
"92TX","1750 INLAND RD","ORANGE","TX","77632","US"
"94AL","2550 Jackson Ferry Rd","Montgomery","AL","36124","US"
"94MS","Hwy 12 E., 015 E. Front Rd","Ackerman","MS","39735","US"
"95AL","307 Willow Oaks Dr","Ozark","AL","36360","US"
"95MS","270 South Industrial Parkway","Yazoo City","MS","39194","US"
"97MS","238 Herring Road","Morton","MS","39117","US"
"98AL","151 County Road 35","Evergreen","AL","36401","US"
"JP01","1400 S Main St","Leola","AR","72084","US"
"JP02","2600 S ARKANSAS ST","SPRINGHILL","LA","71075","US"
