anyID,"address","city","state","zip","country"
"7622","4335 Carson Rd","COLUMBUS","MS","39701","US"
"7623","1 Bonnybridge Rd","PORT WENTWORTH","GA","31407","US"
"IPHQ","6400 POPLAR AVENUE","Memphis","TN","38119","US"
"9004","#N/A","Florence","NJ","08518","US"
"9005","#N/A","LA MIRADA","CA","90638","US"
"9006","1645 Market Dr SE","ATLANTA","GA","30316","US"
"9436","1601 NE 192nd Ave","PORTLAND","OR","97220","US"
"9439","180 Progress Avenue","SPRINGFIELD","MA","01104","US"
"9000","4600 RAILHEAD RD","Dallas","TX","75380","US"
"9002","2501 165TH ST","Hammond","IN","46320","US"
"0519","1145 Union Camp Blvd","Sumter","SC","29154","US"
"iptc","6283 Tri-Ridge Blvd","Loveland","OH","45140","US"
"7106","7600 HIGHWAY 10 W","Pine Hill","AL","36769","US"
"RCLT","5419 Hovis Rd","Charlotte","NC","28206","US"
"RNOR","#N/A","Norwalk","CA","90650","US"
"ROMA","#N/A","Omaha","NE","68112","US"
"RSLC","#N/A","Salt Lake City","UT","84104","US"
"RWIT","#N/A","Wichita","KS","67215","US"
